RAM_Type,Size,Clock,Sticks,Year,DDR_Type,Data_Rate,Bandwidth (GB/s),Latency (ns),Bandwidth_GB_s
DDR5-5600,96,999.99,2,2023,DDR5,5,1.2499875,0.25600256002560023,1.99998
DDR5-5200,96,999.99,2,2023,DDR5,5,1.2499875,0.25600256002560023,1.99998
DDR4-3200,32,999.99,4,2019,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-3600,16,999.99,4,2020,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR5-4800,32,999.99,2,2022,DDR5,5,1.2499875,0.25600256002560023,1.99998
DDR4-3000,32,999.99,1,2019,DDR4,4,0.499995,0.25600256002560023,1.99998
DDR4-3200,64,999.99,4,2021,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-3600,32,999.99,4,2021,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR5-6200,64,999.99,4,2022,DDR5,5,2.499975,0.25600256002560023,1.99998
DDR4-2666,64,999.99,4,2022,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR5-6600,64,999.99,4,2022,DDR5,5,2.499975,0.25600256002560023,1.99998
DDR4-3000,64,999.99,4,2022,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR5-6400,64,999.99,4,2022,DDR5,5,2.499975,0.25600256002560023,1.99998
DDR4-3200,64,999.99,4,2022,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-2400,32,999.99,4,2021,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-2666,128,999.99,1,2023,DDR4,4,0.499995,0.25600256002560023,1.99998
DDR4-3466,32,999.99,4,2021,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-2666,128,999.99,4,2021,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-2666,64,999.99,4,2022,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-3333,32,999.99,4,2021,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-3200,64,999.99,4,2021,DDR4,4,1.99998,0.25600256002560023,1.99998
