,ID,Name,Year,RAM_Type,Size,Clock,Sticks,Bandwidth,Latency
200,201,Corsair Vengeance LPX (Black),2021,DDR4-2666,128,2666,4,85.312,12.003000750187548
201,202,Corsair Vengeance RGB Pro (Black),2022,DDR4-2666,64,2666,4,85.312,12.003000750187548
202,203,Corsair RGB 32GB,2021,DDR4-3333,32,3333,4,106.656,9.6009600960096
203,204,Corsair Vengeance LPX (Black),2021,DDR4-3200,64,3200,4,102.4,10.0
204,205,Corsair Dominator Platinum Series 64GB,2021,DDR4-3200,64,3200,4,102.4,10.0
205,206,Corsair Vengeance LPX (Black),2021,DDR4-2400,128,2400,8,153.6,13.333333333333334
206,207,Corsair RGB 32GB,2021,DDR4-3466,32,3466,4,110.912,9.232544720138488
207,208,Corsair Vengeance RGB Pro (Black),2022,DDR4-3000,64,3000,4,96.0,10.0
208,209,Corsair Vengeance RGB Pro (Black),2022,DDR4-3200,64,3200,4,102.4,10.0
209,210,Corsair Dominator Platinum Series 32GB,2021,DDR4-2400,32,2400,4,76.8,13.333333333333334
210,211,Corsair Vengeance RGB Pro (Black),2022,DDR4-2933,64,2933,4,93.856,10.910330719399932
211,212,Corsair Dominator Platinum RGB Series,2022,DDR4-3200,64,3200,8,204.8,10.0
212,213,Corsair Vengeance LPX (Black),2022,DDR4-2133,64,2133,8,136.512,15.002344116268167
213,214,Corsair LPX 128GB,2022,DDR4-3000,128,3000,8,192.0,10.0
214,215,Corsair Vengeance LED (White),2021,DDR4-2666,64,2666,1,21.328,12.003000750187548
215,216,Corsair Vengeance RGB Pro (Black),2022,DDR4-3466,64,3466,4,110.912,9.232544720138488
216,217,Corsair Dominator Platinum RGB Series,2022,DDR4-4266,16,4266,2,68.256,7.501172058134084
217,218,Corsair Dominator Platinum Series 32GB,2021,DDR4-3333,32,3333,4,106.656,9.6009600960096
218,219,Corsair Vengeance LPX (Red) + AF,2023,DDR4-3600,32,3600,4,115.2,10.0
219,220,Corsair Dominator Platinum + AF,2022,DDR4-3600,32,3600,4,115.2,10.0
220,221,Kingston HyperX Predator,2022,DDR4-3000,64,3000,4,96.0,10.0
221,222,Corsair Vengeance LPX (Red) + AF,2023,DDR4-3733,32,3733,4,119.456,8.572193945888026
222,223,Corsair LPX 32GB,2021,DDR4-3866,32,3866,4,123.712,8.277289187790998
223,224,Corsair Vengeance LED (Blue),2021,DDR4-3200,64,3200,1,25.6,10.0
224,225,Corsair Dominator Platinum Series 32GB,2021,DDR4-3866,32,3866,4,123.712,8.277289187790998
225,226,Corsair RGB 64GB,2021,DDR4-2666,64,2666,8,170.624,12.003000750187548
226,227,Corsair Dominator Platinum Series 32GB,2021,DDR4-3733,32,3733,4,119.456,8.572193945888026
227,228,Corsair Vengeance LED (White),2021,DDR4-3200,64,3200,1,25.6,10.0
228,229,Corsair Dominator Platinum Series 64GB,2021,DDR4-3000,64,3000,4,96.0,10.0
229,230,Corsair Vengeance LED (Blue),2021,DDR4-3000,64,3000,1,24.0,10.0
230,231,Corsair Dominator Platinum Series 32GB,2021,DDR4-4000,32,4000,4,128.0,8.0
231,232,Corsair Dominator Platinum RGB Series,2022,DDR4-3600,64,3600,4,115.2,10.0
232,233,Corsair Vengeance RGB,2023,DDR5-5200,192,5200,4,166.4,15.384615384615385
233,234,Corsair Vengeance LED (Red),2021,DDR4-3000,64,3000,1,24.0,10.0
234,235,Corsair Vengeance LED (Red),2021,DDR4-3200,64,3200,1,25.6,10.0
235,236,Corsair Vengeance RGB Pro (Black),2022,DDR4-3600,64,3600,4,115.2,10.0
236,237,Corsair Vengeance RGB Pro (White),2022,DDR4-3600,64,3600,4,115.2,10.0
237,238,Corsair Vengeance LED (White),2021,DDR4-3000,64,3000,1,24.0,10.0
238,239,Corsair Vengeance,2023,DDR5-5200,192,5200,4,166.4,15.384615384615385
239,240,Corsair Vengeance RGB Pro (White),2022,DDR4-3600,64,3600,8,230.4,10.0
240,241,Corsair Vengeance RGB Pro (Black),2022,DDR4-3466,64,3466,4,110.912,9.232544720138488
241,242,Corsair Dominator Platinum RGB Series,2022,DDR4-4266,16,4266,2,68.256,7.501172058134084
242,243,Corsair Dominator Platinum Series 32GB,2021,DDR4-3333,32,3333,4,106.656,9.6009600960096
243,244,Corsair Vengeance LPX (Red) + AF,2023,DDR4-3600,32,3600,4,115.2,10.0
244,245,Corsair Dominator Platinum + AF,2022,DDR4-3600,32,3600,4,115.2,10.0
245,246,Kingston HyperX Predator,2022,DDR4-3000,64,3000,4,96.0,10.0
246,247,Corsair Vengeance LPX (Red) + AF,2023,DDR4-3733,32,3733,4,119.456,8.572193945888026
247,248,Corsair LPX 32GB,2021,DDR4-3866,32,3866,4,123.712,8.277289187790998
248,249,Corsair Vengeance LED (Blue),2021,DDR4-3200,64,3200,1,25.6,10.0
249,250,Corsair Dominator Platinum Series 32GB,2021,DDR4-3866,32,3866,4,123.712,8.277289187790998
250,251,Corsair RGB 64GB,2021,DDR4-2666,64,2666,8,170.624,12.003000750187548
